CanonicalId,PartType,Version,Aliases
"Bat","Bat",1,"Bat"
"Bee","Bee",1,"Bee"
"Cockpit","Cockpit",1,"Cockpit"
"Cockpit_Base_1","Cockpit",1,"Cockpit_Base_1"
"Cockpit_Base_2","Cockpit",2,"Cockpit_Base_2"
"DoubleBarrel","DoubleBarrel",1,"DoubleBarrel"
"DoubleDragon","DoubleDragon",1,"DoubleDragon"
"Eagle","Eagle",1,"Eagle"
"Engine_1","Engine",1,"Engine_1"
"Engine_2","Engine",2,"Engine_2"
"Feather","Feather",1,"Feather"
"Fin","Fin",1,"Fin"
"Harvester","Harvester",1,"Harvester"
"Hawk","Hawk",1,"Hawk"
"Hippo","Hippo",1,"Hippo"
"Pancakes","Pancakes",1,"Pancakes"
"Part_1","Part",1,"Part_1"
"Part_2","Part",2,"Part_2"
"Slicer","Slicer",1,"Slicer"
"Sparrow","Sparrow",1,"Sparrow"
"Spider","Spider",1,"Spider"
"Squid","Squid",1,"Squid"
"Starship","Starship",1,"Starship"
"Stringray","Stringray",1,"Stringray"
"Tail","Fin",1,"Tail"
"Thruster","Thruster",1,"Thruster"
"Thumper","Thumper",1,"Thumper"
"Tortoise","Tortoise",1,"Tortoise"
"Turkey","Turkey",1,"Turkey"
"Turtle","Turtle",1,"Turtle"
"Weapon","Weapon",1,"Weapon"
"Whale","Whale",1,"Whale"
"Wing_1","Wing",1,"Wing_1|Wing_1_Mirrored"
"Wing_2","Wing",2,"Wing_2"
"Wing_3","Wing",3,"Wing_3"
"Wing_4","Wing",4,"Wing_4"
"Wing_5","Wing",5,"Wing_5"
