"Family","CanonicalComponentId","AliasCount","Aliases"
"AstroEagle","Cockpit","1","Cockpit"
"AstroEagle","Cockpit_Base_1","1","Cockpit_Base_1"
"AstroEagle","Cockpit_Base_2","1","Cockpit_Base_2"
"AstroEagle","Engine_1","1","Engine_1"
"AstroEagle","Engine_2","1","Engine_2"
"AstroEagle","Fin","1","Fin"
"AstroEagle","Part_1","1","Part_1"
"AstroEagle","Part_2","1","Part_2"
"AstroEagle","Part_3","1","Part_3"
"AstroEagle","Part_4","1","Part_4"
"AstroEagle","Tail","1","Tail"
"AstroEagle","Thruster","1","Thruster"
"AstroEagle","Weapon","1","Weapon"
"AstroEagle","Wing_1","2","Wing_1|Wing_1_Mirrored"
"AstroEagle","Wing_2","1","Wing_2"
"AstroEagle","Wing_3","1","Wing_3"
"AstroEagle","Wing_4","1","Wing_4"
"AstroEagle","Wing_5","1","Wing_5"
"CosmicShark","Blitzer","1","Blitzer"
"CosmicShark","Body","1","Body"
"CosmicShark","Booster","1","Booster"
"CosmicShark","Bruiser","1","Bruiser"
"CosmicShark","CEO","1","CEO"
"CosmicShark","Cruiser","1","Cruiser"
"CosmicShark","Donkey","1","Donkey"
"CosmicShark","Duet","1","Duet"
"CosmicShark","Engine1","1","Engine1"
"CosmicShark","Engine2","1","Engine2"
"CosmicShark","Falcon","1","Falcon"
"CosmicShark","G6","1","G6"
"CosmicShark","Goldie","1","Goldie"
"CosmicShark","Hull","1","Hull"
"CosmicShark","Knob","1","Knob"
"CosmicShark","Lander","1","Lander"
"CosmicShark","Mouse","1","Mouse"
"CosmicShark","October","1","October"
"CosmicShark","Pony","1","Pony"
"CosmicShark","Scout","1","Scout"
"CosmicShark","Skater","1","Skater"
"CosmicShark","Sly","1","Sly"
"CosmicShark","Sprinter","1","Sprinter"
"CosmicShark","Thruster","1","Thruster"
"CosmicShark","Tubby","1","Tubby"
"CosmicShark","Weapon","1","Weapon"
"CosmicShark","Wing1","1","Wing1"
"CosmicShark","Wing2","1","Wing2"
"CosmicShark","Zam","1","Zam"
"ForceBadger","Cockpit","1","Cockpit"
"ForceBadger","Engine","1","Engine"
"ForceBadger","Fin","1","Fin"
"ForceBadger","Sensor","1","Sensor"
"ForceBadger","Support","1","Support"
"ForceBadger","Tail","1","Tail"
"ForceBadger","Thruster","1","Thruster"
"ForceBadger","Weapon","1","Weapon"
"ForceBadger","Wing","1","Wing"
"GalaxyRaptor","Acc","2","Acc|Acc_Mirrored"
"GalaxyRaptor","Barrel","1","Barrel"
"GalaxyRaptor","Cockpit","1","Cockpit"
"GalaxyRaptor","Cylinder","1","Cylinder"
"GalaxyRaptor","Detail","1","Detail"
"GalaxyRaptor","Engine","1","Engine"
"GalaxyRaptor","Gun","1","Gun"
"GalaxyRaptor","MainBody1","1","MainBody1"
"GalaxyRaptor","MainBody2","1","MainBody2"
"GalaxyRaptor","MainBody3","1","MainBody3"
"GalaxyRaptor","MainBody4","1","MainBody4"
"GalaxyRaptor","ThrustCover","1","ThrustCover"
"GalaxyRaptor","Wing1","1","Wing1"
"GalaxyRaptor","Wing2","1","Wing2"
"GalaxyRaptor","Wing3","1","Wing3"
