ConfigName,CannonIndex,FireRate,EnergyCostPerShot,DamagePerBullet,DirectionAngle,SpreadType,SpreadAngleMin,SpreadAngleMax,SpreadProjectileCount,BulletScale,LocalOffsetX,LocalOffsetZ,BulletSpeed
2.1,0,2.2,2.5,9,0,FixedSpread,-12,12,3,0.65,0,0,22
2.2,0,2.5,2.2,8,0,Straight,-5,5,3,0.6,-0.15,0,21
2.2,1,2.5,2.2,8,0,Straight,-5,5,3,0.6,0.15,0,21
3.1,0,3,2,7,0,Straight,-5,5,3,0.55,-0.2,0,23
3.1,1,3,2,7,0,Straight,-5,5,3,0.55,0.2,0,23
3.1,2,1.2,12,22,0,Straight,-5,5,3,1.4,0,0,20
3.2,0,6,1.5,4,0,RandomSpread,-15,15,3,0.5,0,0,24
3.3,0,2.8,2.5,10,0,Straight,-5,5,3,0.7,-0.18,0,22
3.3,1,2.8,2.5,10,0,Straight,-5,5,3,0.7,0.18,0,22
3.4,0,0.7,25,35,0,Straight,-5,5,3,1.8,0,0,18
4.1,0,2.5,3,12,0,FixedSpread,-8,8,3,0.75,0,0,23
4.2,0,2.2,2.8,10,0,Straight,-5,5,3,0.7,-0.2,0,22
4.2,1,2.2,2.8,10,0,Straight,-5,5,3,0.7,0.2,0,22
4.3,0,5,2,5,0,RandomSpread,-10,10,3,0.55,0,0,25
4.4,0,1,15,28,0,Straight,-5,5,3,1.5,0,0,19
4.5,0,2.5,3,12,0,FixedSpread,-8,8,3,0.75,0,0,23
4.6,0,2.2,2.8,10,0,Straight,-5,5,3,0.7,-0.2,0,22
4.6,1,2.2,2.8,10,0,Straight,-5,5,3,0.7,0.2,0,22
5.1,0,2.8,3,13,0,Straight,-5,5,3,0.8,-0.22,0,23
5.1,1,2.8,3,13,0,Straight,-5,5,3,0.8,0.22,0,23
5.2,0,2.8,3,13,0,Straight,-5,5,3,0.8,-0.22,0,23
5.2,1,2.8,3,13,0,Straight,-5,5,3,0.8,0.22,0,23
5.3,0,2,4,14,0,FixedSpread,-10,10,3,0.8,0,0,22
5.4,0,6,2,6,0,RandomSpread,-12,12,3,0.6,0,0,24
5.5,0,1.2,18,32,0,Straight,-5,5,3,1.6,0,0,20
5.6,0,2.8,3,13,0,Straight,-5,5,3,0.8,-0.22,0,23
5.6,1,2.8,3,13,0,Straight,-5,5,3,0.8,0.22,0,23
5.7,0,2.8,3,13,0,Straight,-5,5,3,0.8,-0.22,0,23
5.7,1,2.8,3,13,0,Straight,-5,5,3,0.8,0.22,0,23
5.8,0,2,4,14,0,FixedSpread,-10,10,3,0.8,0,0,22
6.1,0,3,3.2,14,0,Straight,-5,5,3,0.85,-0.25,0,24
6.1,1,3,3.2,14,0,Straight,-5,5,3,0.85,0.25,0,24
6.2,0,3,3.2,14,0,Straight,-5,5,3,0.85,-0.25,0,24
6.2,1,3,3.2,14,0,Straight,-5,5,3,0.85,0.25,0,24
6.3,0,2.2,4,15,0,FixedSpread,-10,10,4,0.8,0,0,23
6.4,0,6.5,2.2,6,0,RandomSpread,-14,14,3,0.6,0,0,25
6.5,0,1.5,20,38,0,Straight,-5,5,3,1.7,0,0,21
6.6,0,2.5,3.5,12,0,Straight,-5,5,3,0.75,-0.3,0,23
6.6,1,2.5,3.5,12,0,Straight,-5,5,3,0.75,0.3,0,23
6.7,0,3,3.2,14,0,Straight,-5,5,3,0.85,-0.25,0,24
6.7,1,3,3.2,14,0,Straight,-5,5,3,0.85,0.25,0,24
6.8,0,3,3.2,14,0,Straight,-5,5,3,0.85,-0.25,0,24
6.8,1,3,3.2,14,0,Straight,-5,5,3,0.85,0.25,0,24
6.9,0,2.2,4,15,0,FixedSpread,-10,10,4,0.8,0,0,23
MEGA 1,0,3.5,4,16,0,Straight,-5,5,3,1,-0.35,0,25
MEGA 1,1,3.5,4,16,0,Straight,-5,5,3,1,0.35,0,25
MEGA 1,2,1.5,14,28,0,Straight,-5,5,3,1.3,0,0,22
MEGA 2,0,2.5,5,18,0,FixedSpread,-15,15,4,0.9,0,0,24
MEGA 3,0,7,2.5,8,0,RandomSpread,-18,18,3,0.7,0,0,26
MEGA 4,0,1,35,55,0,Straight,-5,5,3,2,0,0,20
