2026-09-17 16:57:33Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.0Hz simClock=60.0Hz (target 60) simSteps=600 catchUpTicks=205 (34%) unityFrames=395 ticksPerFrame=1.5 tickMs avg=2.2 max=5.0 ships=1 bullets=0 unityDt=0.025 maxDelta=0.10 targetFps=60 deltaMs avg=25.3 max=44.7 wallFrameMs avg=25.4 max=44.5 slowFrames(>20ms)=395 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 16:57:43Z | netdiag-server | [NetDiagnostics/Server] wallSim=58.6Hz simClock=60.0Hz (target 60) simSteps=586 catchUpTicks=252 (43%) unityFrames=335 ticksPerFrame=1.7 tickMs avg=2.1 max=3.8 ships=1 bullets=0 unityDt=0.026 maxDelta=0.10 targetFps=60 deltaMs avg=29.5 max=100.0 wallFrameMs avg=29.8 max=131.6 slowFrames(>20ms)=335 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 16:57:53Z | netdiag-server | [NetDiagnostics/Server] wallSim=56.0Hz simClock=60.0Hz (target 60) simSteps=560 catchUpTicks=280 (50%) unityFrames=280 ticksPerFrame=2.0 tickMs avg=2.3 max=7.6 ships=1 bullets=0 unityDt=0.030 maxDelta=0.10 targetFps=60 deltaMs avg=35.7 max=100.0 wallFrameMs avg=36.0 max=126.1 slowFrames(>20ms)=280 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 16:58:03Z | netdiag-server | [NetDiagnostics/Server] wallSim=54.9Hz simClock=60.0Hz (target 60) simSteps=550 catchUpTicks=275 (50%) unityFrames=275 ticksPerFrame=2.0 tickMs avg=2.4 max=5.2 ships=1 bullets=0 unityDt=0.026 maxDelta=0.10 targetFps=60 deltaMs avg=36.3 max=100.0 wallFrameMs avg=36.5 max=141.1 slowFrames(>20ms)=275 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 16:58:13Z | netdiag-server | [NetDiagnostics/Server] wallSim=56.0Hz simClock=60.0Hz (target 60) simSteps=562 catchUpTicks=281 (50%) unityFrames=281 ticksPerFrame=2.0 tickMs avg=2.4 max=4.0 ships=1 bullets=0 unityDt=0.035 maxDelta=0.10 targetFps=60 deltaMs avg=35.7 max=99.3 wallFrameMs avg=35.8 max=97.2 slowFrames(>20ms)=281 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 16:58:23Z | netdiag-server | [NetDiagnostics/Server] wallSim=56.6Hz simClock=60.0Hz (target 60) simSteps=566 catchUpTicks=283 (50%) unityFrames=283 ticksPerFrame=2.0 tickMs avg=2.3 max=4.3 ships=1 bullets=0 unityDt=0.026 maxDelta=0.10 targetFps=60 deltaMs avg=35.3 max=100.0 wallFrameMs avg=35.5 max=114.8 slowFrames(>20ms)=283 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 16:58:33Z | netdiag-server | [NetDiagnostics/Server] wallSim=57.0Hz simClock=60.0Hz (target 60) simSteps=572 catchUpTicks=286 (50%) unityFrames=286 ticksPerFrame=2.0 tickMs avg=2.3 max=3.7 ships=1 bullets=0 unityDt=0.078 maxDelta=0.10 targetFps=60 deltaMs avg=35.1 max=99.8 wallFrameMs avg=35.2 max=99.9 slowFrames(>20ms)=286 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 16:58:43Z | netdiag-server | [NetDiagnostics/Server] wallSim=57.2Hz simClock=60.0Hz (target 60) simSteps=576 catchUpTicks=288 (50%) unityFrames=288 ticksPerFrame=2.0 tickMs avg=2.4 max=5.8 ships=1 bullets=0 unityDt=0.028 maxDelta=0.10 targetFps=60 deltaMs avg=34.8 max=85.9 wallFrameMs avg=34.9 max=85.9 slowFrames(>20ms)=288 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 16:58:53Z | netdiag-server | [NetDiagnostics/Server] wallSim=54.4Hz simClock=60.0Hz (target 60) simSteps=546 catchUpTicks=273 (50%) unityFrames=273 ticksPerFrame=2.0 tickMs avg=2.4 max=4.0 ships=1 bullets=0 unityDt=0.030 maxDelta=0.10 targetFps=60 deltaMs avg=36.6 max=100.0 wallFrameMs avg=36.9 max=126.9 slowFrames(>20ms)=273 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 16:59:03Z | netdiag-server | [NetDiagnostics/Server] wallSim=52.1Hz simClock=60.0Hz (target 60) simSteps=522 catchUpTicks=261 (50%) unityFrames=261 ticksPerFrame=2.0 tickMs avg=2.3 max=4.2 ships=1 bullets=0 unityDt=0.028 maxDelta=0.10 targetFps=60 deltaMs avg=38.3 max=100.0 wallFrameMs avg=38.5 max=113.5 slowFrames(>20ms)=261 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 16:59:13Z | netdiag-server | [NetDiagnostics/Server] wallSim=67.5Hz simClock=60.0Hz (target 60) simSteps=676 catchUpTicks=338 (50%) unityFrames=338 ticksPerFrame=2.0 tickMs avg=2.3 max=4.2 ships=1 bullets=0 unityDt=0.035 maxDelta=0.10 targetFps=60 deltaMs avg=29.7 max=100.0 wallFrameMs avg=29.9 max=142.8 slowFrames(>20ms)=338 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
