familyId,chassisId,prefabName,shipLevel,cockpit,wing,engine,thruster,weaponBullet,weaponCannon,tail,hull,other,propulsion,weapons,cargoParts,firePower,fireRate,dps,rammingPower,healthCap,energyCap,energyRegen,moveSpeed,turnSpeed,gemCap,peopleCap,powerScore
AstroEagle,AstroEagle_01,AstroEagle_Hawk,1,1,1,1,1,1,0,1,2,0,2,1,2,3,3,9,1,23.464,15,2.1,14.4,22.654,80,6.8,103.156
AstroEagle,AstroEagle_03,AstroEagle_Sparrow,2,2,1,1,1,1,0,2,1,0,2,1,3,3.3,3,9.9,3.3,46.583,15.941,2.114,12.474,22.015,123.2,10.472,131.029
AstroEagle,AstroEagle_08,AstroEagle_Slicer,2,2,1,2,1,1,0,1,2,0,3,1,3,9.24,2.93,27.07,3.3,45.607,17.961,1.955,14.058,11.42,156.727,13.322,135.872
AstroEagle,AstroEagle_02,AstroEagle_Bat,3,3,1,1,1,1,0,2,1,0,2,1,4,4.68,3.606,16.875,3.744,42.105,21.084,2.654,8.448,41.498,151.643,12.89,155.36
AstroEagle,AstroEagle_15,AstroEagle_DoubleDragon,3,2,1,2,1,1,0,1,2,0,3,1,3,3.637,4.64,16.875,5.088,58.883,21.453,2.784,14.4,22.147,196.247,16.681,164.203
AstroEagle,AstroEagle_06,AstroEagle_Turtle,3,2,1,1,1,1,0,1,2,0,2,1,3,4.511,3.741,16.875,3.6,65.518,20.217,2.351,12.096,11.074,167.869,14.269,153.46
AstroEagle,AstroEagle_07,AstroEagle_Starship,4,2,1,1,1,1,0,1,2,0,2,1,3,6.057,6.223,37.69,2.6,41.708,27.615,2.499,11.466,29.976,152.598,12.971,160.313
AstroEagle,AstroEagle_05,AstroEagle_Stringray,4,1,1,1,1,1,0,1,0,0,2,1,2,4.896,3.734,18.281,1.3,48.33,21.765,2.499,11.466,10.497,300.461,25.539,152.609
AstroEagle,AstroEagle_04,AstroEagle_Whale,4,1,1,1,1,1,0,0,0,0,2,1,2,6.854,5.228,35.831,1.3,46.8,31.655,3.913,9.828,0.379,260,22.1,153.625
AstroEagle,AstroEagle_11,AstroEagle_Squid,4,3,2,1,1,1,0,1,2,0,2,1,5,6.825,5.25,35.831,4.056,74.25,26.975,2.275,9.828,19.858,207.858,17.668,188.866
AstroEagle,AstroEagle_12,AstroEagle_Eagle,5,3,2,1,1,1,0,1,2,0,2,1,5,5.642,6.84,38.588,7.336,79.574,30.103,2.819,10.584,18.68,199.24,16.935,195.401
AstroEagle,AstroEagle_14,AstroEagle_DoubleBarrel,5,2,1,1,1,1,0,1,2,0,2,1,3,5.25,3.75,19.688,4.2,94.995,24.22,2.964,10.584,9.69,363.847,30.927,210.212
AstroEagle,AstroEagle_10,AstroEagle_Turkey,5,3,2,1,1,1,0,1,1,0,2,1,5,5.82,3.383,19.688,4.368,79.535,23.45,2.695,10.584,9.69,352.411,29.955,192.343
