severity,familyId,chassisId,prefabName,shipLevel,wings,engines,thrusters,propulsion,weapons,moveSpeed,dps,energyCap,energyRegen,gemCap,peopleCap,flags,fixClass
91.007,SpaceExcalibur,SpaceExcalibur_08,SpaceExcalibur9,5,1,0,1,1,2,9.996,4599.345,247.097,4.164,153.016,16.832,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
49.73,SpaceExcalibur,SpaceExcalibur_05,SpaceExcalibur12,5,2,0,3,3,2,9.408,2518.982,175.28,5.488,140,15.4,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
39.603,SpaceExcalibur,SpaceExcalibur_04,SpaceExcalibur8,4,2,0,1,1,2,7.007,1865.115,127.752,3.763,244.32,26.875,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
35.302,SpaceExcalibur,SpaceExcalibur_16,SpaceExcalibur13,6,4,0,3,3,2,7.875,7679.178,285.194,5.318,476.66,52.433,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
29.533,SpaceExcalibur,SpaceExcalibur_06,SpaceExcalibur16,3,1,0,1,1,2,7.392,1286.627,121.605,4.762,95.215,10.474,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
22.083,NightAye,NightAye_01,NightAye12,1,0,0,0,0,1,9,192,48,3,20,2.2,propulsion_starvation|energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
21.916,SpaceExcalibur,SpaceExcalibur_02,SpaceExcalibur6,4,1,0,1,1,2,6.37,928.195,94.9,3.185,331.924,36.512,cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
21.218,SpaceExcalibur,SpaceExcalibur_13,SpaceExcalibur10,5,2,0,3,3,2,9.996,970.297,112.004,6.861,354.462,38.991,cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
18.146,SpaceExcalibur,SpaceExcalibur_07,SpaceExcalibur3,6,4,0,1,1,2,5.25,3638.686,216.45,3.308,270,29.7,propulsion_starvation|energy_insolvency|overgunned|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
15.002,CosmicShark,CosmicShark_11,CosmicShark_Skater,5,1,2,1,3,1,10.668,768.693,107.035,2.182,107.006,11.771,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
13.781,LightFox,LightFox_17,LightFox9,5,2,1,0,1,1,6.468,201.6,56.464,2.122,1011.407,111.255,cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
13.516,LightFox,LightFox_04,LightFox19,2,1,2,0,2,1,11.583,159,43.819,1.477,110,12.1,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
10.546,SpaceExcalibur,SpaceExcalibur_14,SpaceExcalibur17,4,3,0,1,1,2,7.007,436.6,82.208,2.838,239.115,26.303,propulsion_starvation|energy_insolvency|overgunned|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
10.059,GalaxyRaptor,GalaxyRaptor_18,GalaxyRaptor01,5,4,1,0,1,1,7.644,201.6,67.234,5.892,568.24,62.506,propulsion_starvation|cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
9.665,LightFox,LightFox_12,LightFox15,5,4,1,0,1,1,6.468,201.6,56.464,2.122,535.087,58.86,propulsion_starvation|cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
9.453,LightFox,LightFox_11,LightFox8,5,4,1,0,1,1,6.468,206.865,58.43,2.81,508.476,55.932,propulsion_starvation|cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
9.333,SpaceExcalibur,SpaceExcalibur_20,SpaceExcalibur5,6,8,0,2,2,2,6.825,751.157,112.65,4.778,1067.332,117.407,propulsion_starvation|cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf
9.244,LightFox,LightFox_13,LightFox7,5,4,3,0,3,1,9.492,50.4,31.76,2.296,882.262,97.049,cargo_freak_people|cargo_freak_gems|energy_insolvency,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
8.75,GalaxyRaptor,GalaxyRaptor_07,GalaxyRaptor02,4,2,1,0,1,1,7.007,421.2,85.858,5.48,225.541,24.809,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
